gtin	name	brand	price_chf	category	url	availability
7312350332148	BRIO World - Batterie-Frachtlok	Ravensburger Verlag GmbH	23.9	babyspielzeug	https://www.exlibris.ch/de/hobby-spiele-brettspiele/brio-world-batterie-frachtlok/id/7312350332148/	Auslieferung erfolgt in der Regel innert 2 bis 3 Tagen.
4006592005177	Badeenten	Simba Dickie	5.9	babyspielzeug	https://www.exlibris.ch/de/hobby-spiele-brettspiele/badeenten/id/4006592005177/	Sofort versandbereit
7610468413521	Speed Cups	Amigo	15.9	babyspielzeug	https://www.exlibris.ch/de/hobby-spiele-brettspiele/speed-cups/id/7610468413521/	Sofort versandbereit
4250282419267	Badeente mit Krone rosa	Sombo	9.9	babyspielzeug	https://www.exlibris.ch/de/hobby-spiele-brettspiele/badeente-mit-krone-rosa/id/4250282419267/	Auslieferung erfolgt in der Regel innert 2 bis 3 Werktagen.
4250282419274	Badeente mit Krone hellblau	Sombo	9.9	babyspielzeug	https://www.exlibris.ch/de/hobby-spiele-brettspiele/badeente-mit-krone-hellblau/id/4250282419274/	Auslieferung erfolgt in der Regel innert 2 bis 3 Werktagen.
4251192146748	Tonie Globis verrückte Abenteuer (schweizerdeutsch)		18.9	lernspielzeug	https://www.exlibris.ch/de/hobby-spiele-brettspiele/tonie-globis-verrueckte-abenteuer-schweizerdeutsch/id/4251192146748/	Auslieferung erfolgt in der Regel innert 3 Wochen.
4251192129161	Tonie Pokémon: Pikachu		18.9	lernspielzeug	https://www.exlibris.ch/de/hobby-spiele-brettspiele/tonie-pokemon-pikachu/id/4251192129161/	Sofort versandbereit
4251192175595	Tonie Pokémon: Glumanda		18.9	lernspielzeug	https://www.exlibris.ch/de/hobby-spiele-brettspiele/tonie-pokemon-glumanda/id/4251192175595/	Sofort versandbereit
4251192175618	Tonie Pokémon: Schiggy		18.9	lernspielzeug	https://www.exlibris.ch/de/hobby-spiele-brettspiele/tonie-pokemon-schiggy/id/4251192175618/	Sofort versandbereit
4251192175571	Tonie Pokémon: Bisasam		18.9	lernspielzeug	https://www.exlibris.ch/de/hobby-spiele-brettspiele/tonie-pokemon-bisasam/id/4251192175571/	Sofort versandbereit
8719978767489	Squishy Dumpling Glitters 8,5 cm ,		7.9	mal-bastel	https://www.exlibris.ch/de/hobby-spiele-brettspiele/squishy-dumpling-glitters-8-5-cm-/id/8719978767489/	Erhältlich wieder ab: 27.08.26
0028178207014	HAMA Perlen Weiß 1.000 Stück		1.9	mal-bastel	https://www.exlibris.ch/de/hobby-spiele-brettspiele/hama-perlen-weiss-1-000-stueck/id/0028178207014/	Sofort versandbereit
0028178207182	HAMA Perlen Schwarz 1.000 Stück		1.9	mal-bastel	https://www.exlibris.ch/de/hobby-spiele-brettspiele/hama-perlen-schwarz-1-000-stueck/id/0028178207182/	Sofort versandbereit
0028178207052	HAMA Perlen Rot 1.000 Stück		1.9	mal-bastel	https://www.exlibris.ch/de/hobby-spiele-brettspiele/hama-perlen-rot-1-000-stueck/id/0028178207052/	Sofort versandbereit
0028178207038	HAMA Perlen Gelb 1.000 Stück		1.9	mal-bastel	https://www.exlibris.ch/de/hobby-spiele-brettspiele/hama-perlen-gelb-1-000-stueck/id/0028178207038/	Sofort versandbereit
4018587794065	Wasserperlen, 110g		4.9	outdoor	https://www.exlibris.ch/de/hobby-spiele-brettspiele/wasserperlen-110g/id/4018587794065/	Sofort versandbereit
4013594153829	Jongliertücher, 6 Tücher		10.9	outdoor	https://www.exlibris.ch/de/hobby-spiele-brettspiele/jongliertuecher-6-tuecher/id/4013594153829/	Sofort versandbereit
4013594563246	Wikingerspiel KUBB inkl. Baumwollbeutel,		25.3	outdoor	https://www.exlibris.ch/de/hobby-spiele-brettspiele/wikingerspiel-kubb-inkl-baumwollbeutel-/id/4013594563246/	Sofort versandbereit
4897046473426	Doctor Squish - Maker Station		32.9	outdoor	https://www.exlibris.ch/de/hobby-spiele-brettspiele/doctor-squish-maker-station/id/4897046473426/	Auslieferung erfolgt in der Regel innert 12 bis 16 Wochen.
4013594151627	Goki 15162 - Kick-Ball, Stoffball, sortiert 1 Stück		1.9	outdoor	https://www.exlibris.ch/de/hobby-spiele-brettspiele/goki-15162-kick-ball-stoffball-sortiert-1-stueck/id/4013594151627/	Sofort versandbereit
4897046475277	Glow It! By Doctor Squish - Squishy Maker		27.9	pluesch	https://www.exlibris.ch/de/hobby-spiele-brettspiele/glow-it-by-doctor-squish-squishy-maker/id/4897046475277/	Derzeit vergriffen. Nachdruck im 4. Quartal
0019649508778	Needoh - Niceberg		13.9	pluesch	https://www.exlibris.ch/de/hobby-spiele-brettspiele/needoh-niceberg/id/0019649508778/	Nachdruck geplant - Termin unbekannt.
3664944738381	Gewichtsplüsch Faultier		30.9	pluesch	https://www.exlibris.ch/de/hobby-spiele-brettspiele/gewichtspluesch-faultier/id/3664944738381/	Auslieferung erfolgt in der Regel innert 2 bis 3 Werktagen.
4049985004050	Elmar		16.9	pluesch	https://www.exlibris.ch/de/hobby-spiele-brettspiele/elmar/id/4049985004050/	Sofort versandbereit
4004510908159	Teddy Hermann 908159 - Dachs, 30 cm		20.9	pluesch	https://www.exlibris.ch/de/hobby-spiele-brettspiele/teddy-hermann-908159-dachs-30-cm/id/4004510908159/	Auslieferung erfolgt in der Regel innert 3 bis 4 Werktagen.
4014888401107	Beleduc 40110 - Handpuppe Schildkröte, 22 cm		11.9	puppen	https://www.exlibris.ch/de/hobby-spiele-brettspiele/beleduc-40110-handpuppe-schildkroete-22-cm/id/4014888401107/	Auslieferung erfolgt in der Regel innert 5 bis 7 Werktagen.
4022498323061	SMH Puppenhaus Familie		13.9	puppen	https://www.exlibris.ch/de/hobby-spiele-brettspiele/smh-puppenhaus-familie/id/4022498323061/	Auslieferung erfolgt in der Regel innert 1 bis 2 Wochen.
4014888402500	Beleduc 40250 - Handpuppe Igel, 22 cm		11.9	puppen	https://www.exlibris.ch/de/hobby-spiele-brettspiele/beleduc-40250-handpuppe-igel-22-cm/id/4014888402500/	Auslieferung erfolgt in der Regel innert 3 bis 4 Werktagen.
4014888401305	Beleduc 40130 - Handpuppe Eichhörnchen, 22 cm		11.9	puppen	https://www.exlibris.ch/de/hobby-spiele-brettspiele/beleduc-40130-handpuppe-eichhoernchen-22-cm/id/4014888401305/	Auslieferung erfolgt in der Regel innert 5 bis 7 Werktagen.
4049985004135	Der kleine Rabe Socke: Handpuppe 30 cm		19.9	puppen	https://www.exlibris.ch/de/hobby-spiele-brettspiele/der-kleine-rabe-socke-handpuppe-30-cm/id/4049985004135/	Sofort versandbereit
4744999010065	Filapen Wochenplaner Magnettafel		21.9	rollenspiel	https://www.exlibris.ch/de/hobby-spiele-brettspiele/filapen-wochenplaner-magnettafel/id/4744999010065/	Auslieferung erfolgt in der Regel innert 1 bis 2 Wochen.
4047542601551	Apfelschälmaschine		16.9	rollenspiel	https://www.exlibris.ch/de/hobby-spiele-brettspiele/apfelschaelmaschine/id/4047542601551/	Auslieferung erfolgt in der Regel innert 3 bis 8 Werktagen.
4047542109026	Corvus A100902 - Kids at work: Ersatzpfeile Armbrust, 10 Stück		2.9	rollenspiel	https://www.exlibris.ch/de/hobby-spiele-brettspiele/corvus-a100902-kids-at-work-ersatzpfeile-armbrust-10-stueck/id/4047542109026/	Auslieferung erfolgt in der Regel innert 3 bis 4 Werktagen.
4047542755308	Corvus A750510 - Kids at work, 100x Bierdeckel blanko rund, Bastelmaterial		7.9	rollenspiel	https://www.exlibris.ch/de/hobby-spiele-brettspiele/corvus-a750510-kids-at-work-100x-bierdeckel-blanko-rund-bast/id/4047542755308/	Auslieferung erfolgt in der Regel innert 3 bis 4 Werktagen.
7610355101494	Kinderpost - Poste des enfants		38.9	rollenspiel	https://www.exlibris.ch/de/hobby-spiele-brettspiele/kinderpost-poste-des-enfants/id/7610355101494/	Auslieferung erfolgt in der Regel innert 2 bis 3 Tagen.
7610956661465	Post Autobus mit Licht + Sound		13.9	spielfahrzeuge	https://www.exlibris.ch/de/hobby-spiele-brettspiele/post-autobus-mit-licht-sound/id/7610956661465/	Auslieferung erfolgt in der Regel innert 2 bis 3 Werktagen.
5413355522199	Spielteppich City 80x120cm		15.9	spielfahrzeuge	https://www.exlibris.ch/de/hobby-spiele-brettspiele/spielteppich-city-80x120cm/id/5413355522199/	Sofort versandbereit
4001702033330	Zubehör: Frontlader Traktorserie 3000		10.9	spielfahrzeuge	https://www.exlibris.ch/de/hobby-spiele-brettspiele/zubehoer-frontlader-traktorserie-3000/id/4001702033330/	Auslieferung erfolgt in der Regel innert 2 bis 3 Werktagen.
4006874035489	SIKU Menzi Muck Schreitbagger		28.9	spielfahrzeuge	https://www.exlibris.ch/de/hobby-spiele-brettspiele/siku-menzi-muck-schreitbagger/id/4006874035489/	Auslieferung erfolgt in der Regel innert 2 bis 3 Tagen.
4001702023324	Zubehör: Ballengreifzange + 1 Rundballen		8.9	spielfahrzeuge	https://www.exlibris.ch/de/hobby-spiele-brettspiele/zubehoer-ballengreifzange-1-rundballen/id/4001702023324/	Auslieferung erfolgt in der Regel innert 2 bis 3 Werktagen.
